Mã ICD,Tên bệnh
T33.4,tổn thương nông do cóng lạnh tại cánh tay
T33.5,tổn thương nông do cóng lạnh tại cổ tay và bàn tay
T33.6,tổn thương nông do cóng lạnh tại háng và đùi
W10,ngã trên và từ bậc thang bậc thềm
W11,ngã trên và từ thang
W12,ngã trên và từ dàn giáo
W13,ngã từ ra ngoài hay qua nhà kiến trúc
W14,ngã cây
W15,ngã vách đá
W16,nhẩy lao đầu hay nhẩy xuống nước gây chấn thương khác với ngã xuống nước hay ngập nước
W17,ngã khác từ một mức này đến mức khác
W18,ngã khác cùng mức
W19,ngã không rõ đặc điểm
W20,bị tác động của vật ném tung hay đang rơi
W21,va phải hay bị đập bởi dụng cụ thể thao
W22,va phải hay bị đập bởi vật khác
W23,bị bắt kẹp ép hay cấu trong hay giữa các vật
W24,tiếp xúc với dụng cụ nâng truyền không được xếp loại ở nơi khác
W25,tiếp xúc với kính nhọn
W26,tiếp xúc với dao kiếm dao găm
W27,tiếp xúc với dụng cụ thủ công không động cơ
W28,tiếp xúc với máy xén cỏ
W29,tiếp xúc với dụng cụ thủ công có động cơ khác và máy nội trợ
W30,tiếp xúc với máy nông nghiệp
W31,tiếp xúc với máy khác không rõ đặc điểm
W32,đạn súng tay
W33,đạn súng có rãnh xoắn súng ngắn súng dài
W34,đạn của súng tay khác không rõ đặc điểm
W35,nổ vỡ bình hơi nước
W36,nổ vỡ bình ga
W37,nổ và vỡ lốp ống dẫn hay vòi có điều hòa áp lực
W38,nổ và vỡ các dụng cụ khác không rõ đặc điểm có điều hòa áp lực
W39,nổ pháo hoa
W40,nổ vật tư khác
Z84,tiền sử gia đình có các bệnh khác
Z84.0,tiền sử gia đình có các bệnh về da và tổ chức dưới da
Z84.1,tiền sử gia đình có các rối loạn về thận và niệu quản
Z84.2,tiền sử gia đình có các bệnh thuộc hệ sinh dục tiết niệu
Z84.3,tiền sử gia đình có các bệnh về huyết thống
Z84.8,tiền sử gia đình có các bệnh đặc hiệu khác
Z85,tiền sử cá nhân có khối u ác tính
Z85.0,tiền sử cá nhân có u ác tính của cơ quan tiêu hóa
Z85.1,tiền sử cá nhân có khối u ác tính ở khí quản phế quản và phổi
Z85.2,tiền sử cá nhân có khối u ác tính ở các cơ quan hô hấp và các cơ quan khác trong lồng ngực
Z85.3,tiền sử cá nhân có khối u ác tính ở vú
Z85.4,tiền sử cá nhân có u ác tính ở các cơ quan sinh dục
Z85.5,tiền sử cá nhân có u ác tính của đường tiết niệu
Z85.6,tiền sử cá nhân có bệnh bạch cầu
Z85.7,tiền sử cá nhân có u ác tính hệ lympho cơ quan tạo máu và tổ chức tạo máu
Z85.8,tiền sử cá nhân có khối u ác tính ở các cơ quan và hệ thống khác
Z85.9,tiền sử cá nhân có khối u ác tính không đặc hiệu
Z86,tiền sử cá nhân có một số bệnh khác
Z86.0,tiền sử cá nhân có các khối u khác
Z86.1,tiền sử cá nhân có bệnh nhiễm khuẩn và ký sinh trùng
Z86.2,tiền sử cá nhân có các bệnh về máu và cơ quan tạo máu và một số rối loạn về cơ chế miễn dịch
Z86.3,tiền sử cá nhân có các bệnh về nội tiết dinh dưỡng và chuyển hóa
Z86.4,tiền sử cá nhân có lạm dụng chất kích thần
Z86.5,tiền sử cá nhân có các rối loạn tâm thần và hành vi khác
Z86.6,tiền sử cá nhân có các bệnh về hệ thần kinh và các giác quan
Z86.7,tiền sử cá nhân có các bệnh về hệ tuần hoàn
Z87,tiền sử cá nhân có các bệnh và trạng thái bệnh khác
Z87.0,tiền sử cá nhân có các bệnh thuộc hệ hô hấp
Z87.1,tiền sử cá nhân có các bệnh thuộc hệ tiêu hóa
Z87.2,tiền sử cá nhân có các bệnh về da và tổ chức dưới da
Z87.3,tiền sử cá nhân có các bệnh thuộc hệ cơ xương và tổ chức liên kết
Z87.4,tiền sử cá nhân có các bệnh thuộc hệ sinh dục tiết niệu
Z87.5,tiền sử cá nhân có các biến chứng của thai nghén sinh đẻ và sau đẻ
Z87.6,tiền sử cá nhân có một số bệnh xuất hiện trong thời kỳ chu sinh
S59.7,đa tổn thương cẳng tay
S59.8,tổn thương khác được xác định ở cẳng tay
S59.9,tổn thương chưa xác định ở cẳng tay
S60,tổn thương nông ở cổ tay và bàn tay
S60.0,đụng giập các ngón tay không tổn thương móng
S60.1,đụng giập các ngón tay với tổn thương móng
S60.2,đụng giập các phần khác cổ tay và bàn tay
S60.7,đa tổn thương nông ở cổ tay và bàn tay
S60.8,tổn thương nông khác ở cổ tay và bàn tay
S60.9,tổn thương nông ở cổ tay và bàn tay không đặc hiệu
S61,vết thương hở ở cổ tay và bàn tay
S61.0,vết thương hở các ngón tay không tổn thương móng
